Time,AverageSpeed,MaxSpeed,MinSpeed
0.0,20.0,20.0,20.0
0.5,20.663999999999998,20.8,20.27
1.0,21.330000000000002,21.57,20.6
1.5,22.002,22.3,20.99
2.0,22.672,23.06,21.41
2.5,23.338,23.78,21.87
3.0,24.01,24.55,22.35
3.5,24.676000000000002,25.31,22.84
4.0,25.338,26.07,23.34
4.5,25.986,26.82,23.84
5.0,26.580000000000002,27.54,24.34
5.5,27.124000000000002,28.29,24.83
6.0,27.662,29.08,25.31
6.5,28.188,29.85,25.77
7.0,28.690000000000005,30.55,26.21
7.5,28.875999999999998,30.55,26.62
8.0,29.042,30.54,26.98
8.5,29.188,30.55,27.29
9.0,29.324,30.55,27.57
9.5,29.438,30.55,27.81
10.0,29.544,30.55,28.02
10.5,29.637999999999998,30.55,28.21
11.0,29.715999999999998,30.55,28.37
11.5,29.79,30.55,28.51
12.0,29.848000000000003,30.54,28.63
12.5,29.904000000000003,30.54,28.73
13.0,29.956,30.55,28.82
13.5,30.002,30.55,28.9
14.0,30.032,30.54,28.97
14.5,30.026,30.55,29.04
15.0,30.01,30.55,29.09
15.5,29.992,30.54,29.14
16.0,29.978,30.55,29.18
16.5,29.959999999999997,30.54,29.22
17.0,29.942,30.55,29.26
17.5,29.924,30.55,29.29
18.0,29.9,30.55,29.32
18.5,29.874000000000002,30.55,29.34
19.0,29.842000000000002,30.54,29.35
19.5,29.814,30.55,29.26
20.0,29.78,30.55,29.16
20.5,29.744,30.55,29.05
21.0,29.7,30.55,28.93
21.5,29.65,30.55,28.79
22.0,29.598000000000003,30.54,28.65
22.5,29.534,30.54,28.48
23.0,29.474,30.55,28.3
23.5,29.395999999999997,30.55,28.1
24.0,29.308,30.54,27.87
24.5,29.209999999999997,30.54,27.6
25.0,29.102000000000004,30.55,27.3
25.5,28.972,30.55,26.96
26.0,28.823999999999995,30.55,26.56
26.5,28.506,30.55,26.11
27.0,27.874000000000002,30.54,25.47
27.5,27.106,30.55,24.44
28.0,26.268,30.54,23.23
28.5,25.410000000000004,30.54,21.93
29.0,24.541999999999998,30.54,20.27
29.5,23.744,30.55,18.8
30.0,23.722,30.55,18.76
30.5,23.874,30.55,18.08
31.0,23.983999999999998,30.54,17.13
31.5,24.046,30.54,15.92
32.0,24.4,30.55,16.11
32.5,24.886000000000003,30.54,17.02
33.0,25.368,30.55,17.92
33.5,25.839999999999996,30.54,18.78
34.0,26.320000000000004,30.54,19.63
34.5,26.792,30.55,20.44
35.0,27.25,30.54,21.23
35.5,27.698,30.54,21.98
36.0,28.138000000000005,30.54,22.69
36.5,28.574,30.55,23.37
37.0,29.004,30.55,24.01
37.5,29.201999999999998,30.55,24.61
38.0,29.312,30.55,25.17
38.5,29.418,30.55,25.68
39.0,29.512,30.54,26.16
39.5,29.596000000000004,30.54,26.58
40.0,29.682,30.55,26.97
40.5,29.747999999999998,30.55,27.32
41.0,29.815999999999995,30.55,27.65
41.5,29.872000000000003,30.55,27.92
42.0,29.924,30.55,28.16
42.5,29.968,30.55,28.37
43.0,30.004,30.55,28.56
43.5,30.038,30.55,28.72
44.0,30.064,30.55,28.86
44.5,30.092000000000002,30.55,28.98
45.0,30.113999999999997,30.55,29.09
45.5,30.131999999999998,30.54,29.19
46.0,30.152000000000005,30.55,29.27
46.5,30.163999999999998,30.55,29.34
47.0,30.18,30.55,29.4
47.5,30.192,30.55,29.45
48.0,30.201999999999998,30.55,29.5
48.5,30.168,30.55,29.36
49.0,30.121999999999996,30.55,29.16
49.5,30.083999999999996,30.55,29.01
50.0,30.056,30.54,28.9
50.5,30.038,30.55,28.83
51.0,30.022000000000002,30.55,28.77
51.5,30.012,30.55,28.74
52.0,30.002000000000002,30.55,28.71
52.5,29.994,30.54,28.7
53.0,29.991999999999997,30.55,28.7
53.5,29.985999999999997,30.54,28.7
54.0,29.986,30.54,28.71
54.5,29.986,30.54,28.72
55.0,29.986,30.55,28.73
55.5,29.986,30.55,28.74
56.0,29.988,30.54,28.76
56.5,29.990000000000002,30.54,28.78
57.0,29.991999999999997,30.55,28.79
57.5,29.996,30.55,28.81
58.0,29.998,30.55,28.83
58.5,29.997999999999998,30.55,28.85
59.0,30.003999999999998,30.55,28.87
59.5,30.006,30.55,28.89
