Time,AverageSpeed,MaxSpeed,MinSpeed
0.0,20.0,20.0,20.0
0.5,20.663999999999998,20.8,20.27
1.0,21.330000000000002,21.57,20.6
1.5,22.002,22.3,20.99
2.0,22.672,23.06,21.41
2.5,23.338,23.78,21.87
3.0,24.01,24.55,22.35
3.5,24.676000000000002,25.31,22.84
4.0,25.338,26.07,23.34
4.5,25.986,26.82,23.84
5.0,26.580000000000002,27.54,24.34
5.5,26.163999999999998,28.21,24.23
6.0,26.322000000000003,28.95,23.68
6.5,26.869999999999997,29.73,24.16
7.0,27.454,30.53,24.71
7.5,27.744,30.54,25.24
8.0,27.746,30.52,25.68
8.5,27.964,30.5,26.06
9.0,28.169999999999998,30.52,26.39
9.5,28.371999999999996,30.54,26.73
10.0,28.637999999999998,30.55,27.13
10.5,28.916000000000004,30.55,27.49
11.0,29.244,30.55,27.82
11.5,29.54,30.55,28.12
12.0,29.808,30.55,28.39
12.5,29.887999999999998,30.55,28.63
13.0,29.984,30.55,28.84
13.5,30.046,30.55,29.04
14.0,30.108000000000004,30.55,29.21
14.5,30.163999999999998,30.55,29.37
15.0,30.22,30.7,29.41
15.5,30.296,30.98,29.43
16.0,30.428000000000004,31.27,29.43
16.5,30.598000000000003,31.52,29.42
17.0,30.768,31.99,29.41
17.5,30.912,32.53,29.39
18.0,31.028,32.98,29.36
18.5,31.112000000000002,33.34,29.32
19.0,31.1,33.25,29.27
19.5,31.103999999999996,33.3,29.21
20.0,31.1,33.31,29.15
20.5,31.088,33.34,29.07
21.0,31.065999999999995,33.33,28.98
21.5,31.04,33.33,28.88
22.0,31.009999999999998,33.33,28.77
22.5,30.976,33.33,28.64
23.0,30.938,33.33,28.5
23.5,30.891999999999996,33.33,28.33
24.0,30.845999999999997,33.33,28.15
24.5,30.786,33.32,27.93
25.0,30.722,33.29,27.69
25.5,30.65,33.25,27.42
26.0,30.562,33.19,27.1
26.5,30.464,33.11,26.74
27.0,30.35,33.02,26.32
27.5,30.224,32.92,25.84
28.0,30.084000000000003,32.82,25.28
28.5,29.922000000000004,32.71,24.63
29.0,29.740000000000002,32.6,23.88
29.5,29.534000000000002,32.49,23.0
30.0,29.306,32.38,22.0
30.5,29.385999999999996,32.28,22.54
31.0,29.492,32.17,23.22
31.5,29.595999999999997,32.07,23.87
32.0,29.694,31.98,24.48
32.5,29.782,31.89,25.04
33.0,29.863999999999997,31.8,25.56
33.5,29.936,31.72,26.03
34.0,30.0,31.64,26.44
34.5,30.052,31.56,26.8
35.0,30.097999999999995,31.49,27.12
35.5,30.136000000000003,31.43,27.39
36.0,30.168,31.36,27.63
36.5,30.194,31.3,27.84
37.0,30.218,31.25,28.02
37.5,30.236,31.2,28.17
38.0,30.25,31.15,28.31
38.5,30.262,31.1,28.43
39.0,30.272000000000002,31.06,28.53
39.5,30.28,31.02,28.62
40.0,30.29,30.99,28.7
40.5,30.296,30.96,28.77
41.0,30.302,30.93,28.84
41.5,30.306,30.9,28.9
42.0,30.309999999999995,30.87,28.95
42.5,30.312,30.85,28.99
43.0,30.315999999999995,30.83,29.03
43.5,30.318,30.81,29.07
44.0,30.322000000000003,30.79,29.11
44.5,30.322000000000003,30.77,29.14
45.0,30.326,30.76,29.17
45.5,30.326,30.74,29.2
46.0,30.327999999999996,30.73,29.22
46.5,30.329999999999995,30.71,29.25
47.0,30.332,30.7,29.27
47.5,30.332,30.69,29.29
48.0,30.333999999999996,30.68,29.31
48.5,30.336000000000002,30.67,29.33
49.0,30.338,30.66,29.35
49.5,30.338,30.65,29.37
50.0,30.341999999999995,30.65,29.39
50.5,30.342000000000002,30.64,29.4
51.0,30.344,30.63,29.42
51.5,30.345999999999997,30.63,29.43
52.0,30.347999999999995,30.62,29.45
52.5,30.35,30.62,29.46
53.0,30.348000000000003,30.61,29.47
53.5,30.351999999999997,30.61,29.49
54.0,30.351999999999997,30.6,29.5
54.5,30.353999999999996,30.6,29.51
55.0,30.356,30.6,29.52
55.5,30.357999999999997,30.59,29.54
56.0,30.360000000000003,30.59,29.55
56.5,30.362000000000002,30.59,29.56
57.0,30.362000000000002,30.58,29.57
57.5,30.363999999999997,30.58,29.58
58.0,30.365999999999996,30.58,29.59
58.5,30.368000000000002,30.58,29.6
59.0,30.367999999999995,30.57,29.61
59.5,30.369999999999997,30.57,29.62
