Time,AverageSpeed
0.0,20.0
0.5,20.663999999999998
1.0,21.330000000000002
1.5,22.002
2.0,22.672
2.5,23.338
3.0,24.01
3.5,24.676000000000002
4.0,25.338
4.5,25.986
5.0,26.580000000000002
5.5,26.163999999999998
6.0,26.322000000000003
6.5,26.869999999999997
7.0,27.454
7.5,27.744
8.0,27.746
8.5,27.964
9.0,28.169999999999998
9.5,28.371999999999996
10.0,28.637999999999998
10.5,28.916000000000004
11.0,29.244
11.5,29.54
12.0,29.808
12.5,29.887999999999998
13.0,29.984
13.5,30.046
14.0,30.108000000000004
14.5,30.163999999999998
15.0,30.22
15.5,30.296
16.0,30.428000000000004
16.5,30.598000000000003
17.0,30.768
17.5,30.912
18.0,31.028
18.5,31.112000000000002
19.0,31.1
19.5,31.103999999999996
20.0,31.1
20.5,31.088
21.0,31.065999999999995
21.5,31.04
22.0,31.009999999999998
22.5,30.976
23.0,30.938
23.5,30.891999999999996
24.0,30.845999999999997
24.5,30.786
25.0,30.722
25.5,30.65
26.0,30.562
26.5,30.464
27.0,30.35
27.5,30.224
28.0,30.084000000000003
28.5,29.922000000000004
29.0,29.740000000000002
29.5,29.534000000000002
30.0,29.306
30.5,29.385999999999996
31.0,29.492
31.5,29.595999999999997
32.0,29.694
32.5,29.782
33.0,29.863999999999997
33.5,29.936
34.0,30.0
34.5,30.052
35.0,30.097999999999995
35.5,30.136000000000003
36.0,30.168
36.5,30.194
37.0,30.218
37.5,30.236
38.0,30.25
38.5,30.262
39.0,30.272000000000002
39.5,30.28
40.0,30.29
40.5,30.296
41.0,30.302
41.5,30.306
42.0,30.309999999999995
42.5,30.312
43.0,30.315999999999995
43.5,30.318
44.0,30.322000000000003
44.5,30.322000000000003
45.0,30.326
45.5,30.326
46.0,30.327999999999996
46.5,30.329999999999995
47.0,30.332
47.5,30.332
48.0,30.333999999999996
48.5,30.336000000000002
49.0,30.338
49.5,30.338
50.0,30.341999999999995
50.5,30.342000000000002
51.0,30.344
51.5,30.345999999999997
52.0,30.347999999999995
52.5,30.35
53.0,30.348000000000003
53.5,30.351999999999997
54.0,30.351999999999997
54.5,30.353999999999996
55.0,30.356
55.5,30.357999999999997
56.0,30.360000000000003
56.5,30.362000000000002
57.0,30.362000000000002
57.5,30.363999999999997
58.0,30.365999999999996
58.5,30.368000000000002
59.0,30.367999999999995
59.5,30.369999999999997
